Datetime,Water Level (m)
2024-10-24 12:00:00,0.76911503
2024-10-24 13:00:00,1.0233784
2024-10-24 14:00:00,1.1488137
2024-10-24 15:00:00,1.0911735
2024-10-24 16:00:00,0.8607804
2024-10-24 17:00:00,0.54104775
2024-10-24 18:00:00,0.22249933
2024-10-24 19:00:00,-0.034208357
2024-10-24 20:00:00,-0.1295984
2024-10-24 21:00:00,-0.006354036
2024-10-24 22:00:00,0.21229205
2024-10-24 23:00:00,0.5213863
2024-10-25 00:00:00,0.8845049
2024-10-25 01:00:00,1.176517
2024-10-25 02:00:00,1.3450261
2024-10-25 03:00:00,1.34769
2024-10-25 04:00:00,1.1363015
2024-10-25 05:00:00,0.7985576
2024-10-25 06:00:00,0.40986928
2024-10-25 07:00:00,0.04695748
2024-10-25 08:00:00,-0.24531412
2024-10-25 09:00:00,-0.41021174
2024-10-25 10:00:00,-0.3458481
2024-10-25 11:00:00,-0.104246095
2024-10-25 12:00:00,0.17673182
2024-10-25 13:00:00,0.5233928
2024-10-25 14:00:00,0.852633
2024-10-25 15:00:00,1.079982
2024-10-25 16:00:00,1.1555444
2024-10-25 17:00:00,1.0254133
2024-10-25 18:00:00,0.72246933
2024-10-25 19:00:00,0.37586218
2024-10-25 20:00:00,0.04141185
2024-10-25 21:00:00,-0.21585235
2024-10-25 22:00:00,-0.29703107
2024-10-25 23:00:00,-0.119512506
2024-10-26 00:00:00,0.14092042
2024-10-26 01:00:00,0.46148267
2024-10-26 02:00:00,0.82676756
2024-10-26 03:00:00,1.1084942
2024-10-26 04:00:00,1.2425109
2024-10-26 05:00:00,1.1573375
2024-10-26 06:00:00,0.8680731
2024-10-26 07:00:00,0.4715898
2024-10-26 08:00:00,0.07875374
2024-10-26 09:00:00,-0.29040533
2024-10-26 10:00:00,-0.56822276
2024-10-26 11:00:00,-0.5951827
2024-10-26 12:00:00,-0.3590056
2024-10-26 13:00:00,-0.04099024
2024-10-26 14:00:00,0.30880755
2024-10-26 15:00:00,0.6961269
2024-10-26 16:00:00,1.001705
2024-10-26 17:00:00,1.1447442
2024-10-26 18:00:00,1.0642838
2024-10-26 19:00:00,0.7686729
2024-10-26 20:00:00,0.38696426
2024-10-26 21:00:00,0.020623483
2024-10-26 22:00:00,-0.3132056
2024-10-26 23:00:00,-0.47419685
2024-10-27 00:00:00,-0.33422965
2024-10-27 01:00:00,-0.032281827
2024-10-27 02:00:00,0.2840184
2024-10-27 03:00:00,0.6848935
2024-10-27 04:00:00,1.0270523
2024-10-27 05:00:00,1.2212764
2024-10-27 06:00:00,1.1707636
2024-10-27 07:00:00,0.8859165
2024-10-27 08:00:00,0.46681574
2024-10-27 09:00:00,0.055696335
2024-10-27 10:00:00,-0.37430412
2024-10-27 11:00:00,-0.6607813
2024-10-27 12:00:00,-0.6537254
2024-10-27 13:00:00,-0.33725733
2024-10-27 14:00:00,0.03613324
2024-10-27 15:00:00,0.43282753
2024-10-27 16:00:00,0.87583786
2024-10-27 17:00:00,1.1781013
2024-10-27 18:00:00,1.3011781
2024-10-27 19:00:00,1.1519156
2024-10-27 20:00:00,0.78989273
2024-10-27 21:00:00,0.35440758
2024-10-27 22:00:00,-0.06842598
2024-10-27 23:00:00,-0.4436637
2024-10-28 00:00:00,-0.5910178
2024-10-28 01:00:00,-0.36642057
2024-10-28 02:00:00,-0.006830982
2024-10-28 03:00:00,0.3595363
2024-10-28 04:00:00,0.79825026
2024-10-28 05:00:00,1.1359863
2024-10-28 06:00:00,1.299321
2024-10-28 07:00:00,1.1771342
2024-10-28 08:00:00,0.8270361
2024-10-28 09:00:00,0.3606952
2024-10-28 10:00:00,-0.090411074
2024-10-28 11:00:00,-0.5118769
2024-10-28 12:00:00,-0.7462545
2024-10-28 13:00:00,-0.56545746
2024-10-28 14:00:00,-0.17469321
2024-10-28 15:00:00,0.23293501
2024-10-28 16:00:00,0.6827664
2024-10-28 17:00:00,1.1059048
2024-10-28 18:00:00,1.3758705
2024-10-28 19:00:00,1.3862885
2024-10-28 20:00:00,1.1198847
2024-10-28 21:00:00,0.6756926
2024-10-28 22:00:00,0.2143282
2024-10-28 23:00:00,-0.2661142
2024-10-29 00:00:00,-0.6287592
2024-10-29 01:00:00,-0.65538466
2024-10-29 02:00:00,-0.27936128
2024-10-29 03:00:00,0.12720744
2024-10-29 04:00:00,0.5389005
2024-10-29 05:00:00,0.9797173
2024-10-29 06:00:00,1.2694371
2024-10-29 07:00:00,1.3249714
2024-10-29 08:00:00,1.0769578
2024-10-29 09:00:00,0.64319336
2024-10-29 10:00:00,0.16828236
2024-10-29 11:00:00,-0.3187883
2024-10-29 12:00:00,-0.73453814
2024-10-29 13:00:00,-0.83029175
2024-10-29 14:00:00,-0.40981093
2024-10-29 15:00:00,0.047527548
2024-10-29 16:00:00,0.5027929
2024-10-29 17:00:00,0.9974307
2024-10-29 18:00:00,1.3875273
2024-10-29 19:00:00,1.5427533
2024-10-29 20:00:00,1.3911785
2024-10-29 21:00:00,0.9909436
2024-10-29 22:00:00,0.48793173
2024-10-29 23:00:00,-0.0022715386
2024-10-30 00:00:00,-0.47768995
2024-10-30 01:00:00,-0.7640789
2024-10-30 02:00:00,-0.5424979
2024-10-30 03:00:00,-0.08713746
2024-10-30 04:00:00,0.3334859
2024-10-30 05:00:00,0.8253612
2024-10-30 06:00:00,1.2079332
2024-10-30 07:00:00,1.4196167
2024-10-30 08:00:00,1.30843
2024-10-30 09:00:00,0.94503284
2024-10-30 10:00:00,0.44178984
2024-10-30 11:00:00,-0.059209183
2024-10-30 12:00:00,-0.5445958
